gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
3418869435	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2018/08/1218407e56e590e689130444d898e1d0.jpg											
3418869433	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2017/05/14e8947f4d572ca6e05e3de8b39b5f2a.jpg											
3418869432	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2018/04/802d3f173d5b769637a813da26457f2c.jpg											
3418869431	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2015/05/03e0056d39-1431546620266.jpg											
3418869430	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2018/10/e5eb915cf5e8635e2972cdaac54f0e5d.jpg											
3418869429	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2017/05/a5194014a667e8a88ad3d8fe2a685473.jpg											
3418869428	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2015/05/009bf6e357-1431677079450.jpg											
3418869426	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2019/05/6893da88420cf6f57cff73f73f888a1b.jpg											
3418869425	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2015/05/d3c87e03b8-1431677168158.jpg											
3418869424	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2017/05/4926a2d16c6802148d6602834997ed8d.jpg											
3418869423	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2015/05/54885075d7-1431676793740.jpg											
3418869422	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2015/05/f7b8b3c64b-1431629885308.jpg											
3418869420	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2015/05/69a736b782-1431676642111.jpg											
3418869419	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2015/05/e20dca9336-1431676538648.jpg											
3418869418	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2015/05/0d7b9bb034-1431626803734.jpg											
3418869416	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2018/04/0c587aea6adbd2085b391063f37f8ba9.jpg											
3418869415	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2019/09/297igonw6wb103o30d98u0gggby7xekj.jpg											
3418869414	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2019/09/eufd3b1w9yidrw07p4lm2s7vo20u3uet.jpg											
3418869413	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2019/08/700b70b92380de3f0ad94eb0144ee63b.jpg											
3418869411	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2018/10/ef139c3a58e0741ab45cd09d1eaee4f3.jpg											
3418869410	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2019/09/f1dxzh89soawepfz8dk7635lgbqa94hd.jpg											
3418869409	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2015/05/168cef09c0-1431784045957.jpg											
3418869408	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2015/05/d313f39d0d-1431736729564.jpg											
3418869407	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2015/05/1209bcc246-1431697500755.jpg											
3418869406	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2015/05/dd1d74fb29-1431677398806.jpg											
3418869405	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2020/05/ssztekr2jqea6t8czmpbe1kh8azw9ifu.jpg											
3418869404	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2018/04/ee73d1fdee40183b06f15a712e863a5a.jpg											
3418869403	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2015/05/97e17457e4-1431679605298.jpg											
3418869402	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2017/09/5ef1043ddfed0fca62b30c65e883b2d6.jpg											
3418869401	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2015/05/74a701bba5-1431679060424.jpg											
3418869400	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2015/05/041ea0e77b-1431677505520.jpg											
3418869399	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2018/06/a559ec24c74133999eb2e170263eb5b8.jpg											
